time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-01 00:00:00+00:00,1.0,1.0,28,3
2024-07-02 00:00:00+00:00,,,43,3
2024-07-03 00:00:00+00:00,,,76,3
2024-07-04 00:00:00+00:00,,,43,6
2024-07-05 00:00:00+00:00,,,9,2
2024-07-06 00:00:00+00:00,,,29,2
2024-07-07 00:00:00+00:00,,,5,2
2024-07-08 00:00:00+00:00,,,16,7
2024-07-09 00:00:00+00:00,,,6,3
2024-07-10 00:00:00+00:00,,,6,3
2024-07-11 00:00:00+00:00,,,8,4
2024-07-12 00:00:00+00:00,,,30,1
2024-07-13 00:00:00+00:00,,,30,2
2024-07-14 00:00:00+00:00,,,36,1
