time_iso8601,stars_cumulative
2019-03-14 00:00:00+00:00,1
2019-03-22 00:00:00+00:00,2
2019-04-23 00:00:00+00:00,3
2019-06-02 00:00:00+00:00,4
2019-09-17 00:00:00+00:00,5
2019-10-01 00:00:00+00:00,6
2019-11-08 00:00:00+00:00,7
2020-02-01 00:00:00+00:00,8
2020-12-24 00:00:00+00:00,9
2021-01-18 00:00:00+00:00,10
2021-02-22 00:00:00+00:00,11
2021-03-15 00:00:00+00:00,12
2021-05-05 00:00:00+00:00,13
2021-07-19 00:00:00+00:00,14
2021-10-18 00:00:00+00:00,15
2021-11-16 00:00:00+00:00,16
2021-11-21 00:00:00+00:00,17
2021-12-05 00:00:00+00:00,18
2022-01-25 00:00:00+00:00,19
2022-03-25 00:00:00+00:00,20
2022-04-13 00:00:00+00:00,21
2022-05-12 00:00:00+00:00,22
2022-05-27 00:00:00+00:00,23
2022-09-26 00:00:00+00:00,24
2022-11-23 00:00:00+00:00,25
2023-04-03 00:00:00+00:00,26
2023-05-04 00:00:00+00:00,27
2023-05-23 00:00:00+00:00,28
2023-08-19 00:00:00+00:00,29
2023-09-09 00:00:00+00:00,30
2023-10-11 00:00:00+00:00,31
2023-11-13 00:00:00+00:00,32
2023-12-29 00:00:00+00:00,33
2024-01-06 00:00:00+00:00,34
2024-02-19 00:00:00+00:00,35
2024-02-28 00:00:00+00:00,36
