time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-20 00:00:00+00:00,0,0,4,1
2022-11-21 00:00:00+00:00,0,0,5,4
2022-11-22 00:00:00+00:00,0,0,6,4
2022-11-23 00:00:00+00:00,0,0,7,3
2022-11-24 00:00:00+00:00,0,0,38,2
2022-11-25 00:00:00+00:00,0,0,28,4
2022-11-26 00:00:00+00:00,0,0,3,3
2022-11-27 00:00:00+00:00,0,0,40,5
2022-11-28 00:00:00+00:00,1,1,1,1
2022-11-29 00:00:00+00:00,0,0,2,2
2022-11-30 00:00:00+00:00,0,0,2,2
2022-12-01 00:00:00+00:00,0,0,1,1
2022-12-02 00:00:00+00:00,2,2,8,6
2022-12-03 00:00:00+00:00,2,2,3,1
2022-12-04 00:00:00+00:00,0,0,7,3
2022-12-05 00:00:00+00:00,1,1,8,2
2022-12-06 00:00:00+00:00,2,1,1,1
