time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-02 00:00:00+00:00,2.0,2.0,2,1
2023-04-03 00:00:00+00:00,,,6,1
2023-04-04 00:00:00+00:00,2.0,2.0,10,5
2023-04-05 00:00:00+00:00,,,40,9
2023-04-06 00:00:00+00:00,10.0,6.0,51,8
2023-04-07 00:00:00+00:00,4.0,4.0,16,2
2023-04-08 00:00:00+00:00,1.0,1.0,3,1
2023-04-10 00:00:00+00:00,,,7,3
2023-04-11 00:00:00+00:00,1.0,1.0,3,1
2023-04-12 00:00:00+00:00,,,2,2
2023-04-13 00:00:00+00:00,,,3,3
2023-04-14 00:00:00+00:00,,,1,1
2023-04-15 00:00:00+00:00,,,1,1
