url_path,views_total,views_unique
/BMHLab/BrainEigenmodes_legacy,11,6
/BMHLab/BrainEigenmodes_legacy/blob/main/demo_wave_model_simulation.m,8,1
/BMHLab/BrainEigenmodes_legacy/tree/main/functions_matlab,7,3
/BMHLab/BrainEigenmodes_legacy/blob/main/functions_matlab/model_neural_waves.m,7,1
/BMHLab/BrainEigenmodes_legacy/blob/main/demo_eigenmode_calculation.sh,3,2
/BMHLab/BrainEigenmodes_legacy/blob/main/README.md,3,1
/BMHLab/BrainEigenmodes_legacy/blob/main/surface_eigenmodes.py,2,1
/BMHLab/BrainEigenmodes_legacy/new/main,2,1
/BMHLab/BrainEigenmodes_legacy/blob/main/volume_eigenmodes.py,1,1
/BMHLab/BrainEigenmodes_legacy/commits,1,1
