time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-23 00:00:00+00:00,0,0,64,1
2022-11-24 00:00:00+00:00,0,0,17,1
2022-11-25 00:00:00+00:00,0,0,7,1
2022-11-27 00:00:00+00:00,0,0,6,1
2022-11-28 00:00:00+00:00,0,0,2,1
2022-11-29 00:00:00+00:00,0,0,10,1
2022-11-30 00:00:00+00:00,1,1,3,2
2022-12-01 00:00:00+00:00,0,0,12,1
2022-12-04 00:00:00+00:00,0,0,10,2
2022-12-06 00:00:00+00:00,0,0,1,1
2022-12-12 00:00:00+00:00,0,0,29,1
2022-12-13 00:00:00+00:00,0,0,62,2
2022-12-15 00:00:00+00:00,0,0,10,1
2022-12-16 00:00:00+00:00,0,0,1,1
2022-12-19 00:00:00+00:00,0,0,1,1
2022-12-22 00:00:00+00:00,0,0,1,1
2023-01-15 00:00:00+00:00,0,0,5,1
2023-01-16 00:00:00+00:00,0,0,20,2
2023-01-17 00:00:00+00:00,0,0,9,2
2023-01-18 00:00:00+00:00,0,0,1,1
