time_iso8601,stars_cumulative
2019-06-08 00:00:00+00:00,1
2019-06-11 00:00:00+00:00,2
2019-06-19 00:00:00+00:00,3
2019-06-25 00:00:00+00:00,4
2019-07-07 00:00:00+00:00,5
2019-07-11 00:00:00+00:00,6
2019-10-17 00:00:00+00:00,7
2019-11-19 00:00:00+00:00,8
2020-02-19 00:00:00+00:00,9
2020-05-14 00:00:00+00:00,10
2020-06-24 00:00:00+00:00,11
2020-08-19 00:00:00+00:00,12
2020-09-01 00:00:00+00:00,13
2021-01-17 00:00:00+00:00,14
2021-04-30 00:00:00+00:00,15
2021-06-05 00:00:00+00:00,16
2021-06-08 00:00:00+00:00,17
2021-10-05 00:00:00+00:00,18
2022-04-12 00:00:00+00:00,19
