time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-17 00:00:00+00:00,0,0,4,1
2022-10-21 00:00:00+00:00,1,1,0,0
2022-10-26 00:00:00+00:00,0,0,1,1
2022-10-27 00:00:00+00:00,0,0,1,1
2022-10-29 00:00:00+00:00,0,0,4,1
2022-11-02 00:00:00+00:00,0,0,7,1
2022-11-09 00:00:00+00:00,0,0,1,1
2022-11-10 00:00:00+00:00,1,1,0,0
2022-11-11 00:00:00+00:00,2,1,0,0
2022-11-15 00:00:00+00:00,0,0,7,1
2022-11-17 00:00:00+00:00,0,0,1,1
2022-11-20 00:00:00+00:00,0,0,1,1
2022-11-30 00:00:00+00:00,0,0,2,1
2022-12-04 00:00:00+00:00,0,0,6,1
2022-12-07 00:00:00+00:00,0,0,1,1
2022-12-09 00:00:00+00:00,0,0,1,1
2022-12-12 00:00:00+00:00,2,1,0,0
2022-12-22 00:00:00+00:00,0,0,5,1
2023-01-03 00:00:00+00:00,4,2,0,0
2023-01-16 00:00:00+00:00,1,1,6,1
2023-01-19 00:00:00+00:00,0,0,2,1
2023-01-25 00:00:00+00:00,0,0,22,1
2023-01-27 00:00:00+00:00,0,0,1,1
2023-02-02 00:00:00+00:00,0,0,2,2
2023-02-06 00:00:00+00:00,0,0,1,1
2023-02-14 00:00:00+00:00,1,1,0,0
2023-03-02 00:00:00+00:00,1,1,15,3
2023-03-09 00:00:00+00:00,1,1,0,0
2023-04-11 00:00:00+00:00,0,0,2,1
2023-04-12 00:00:00+00:00,0,0,1,1
2023-04-13 00:00:00+00:00,1,1,1,1
2023-04-25 00:00:00+00:00,1,1,1,1
2023-04-26 00:00:00+00:00,0,0,1,1
2023-04-27 00:00:00+00:00,0,0,1,1
2023-04-29 00:00:00+00:00,1,1,0,0
2023-05-09 00:00:00+00:00,0,0,1,1
2023-05-14 00:00:00+00:00,0,0,5,1
2023-05-22 00:00:00+00:00,2,1,0,0
2023-05-27 00:00:00+00:00,1,1,0,0
2023-05-29 00:00:00+00:00,1,1,0,0
2023-06-02 00:00:00+00:00,0,0,1,1
2023-06-16 00:00:00+00:00,0,0,10,2
2023-06-20 00:00:00+00:00,1,1,0,0
2023-06-27 00:00:00+00:00,1,1,0,0
2023-06-30 00:00:00+00:00,1,1,0,0
2023-07-01 00:00:00+00:00,1,1,0,0
2023-08-04 00:00:00+00:00,1,1,0,0
2023-08-10 00:00:00+00:00,1,1,0,0
2023-08-11 00:00:00+00:00,1,1,0,0
2023-08-19 00:00:00+00:00,1,1,0,0
2023-08-30 00:00:00+00:00,2,1,0,0
2023-09-09 00:00:00+00:00,0,0,1,1
2023-09-13 00:00:00+00:00,0,0,1,1
2023-09-16 00:00:00+00:00,0,0,21,1
2023-09-23 00:00:00+00:00,0,0,12,1
2023-09-30 00:00:00+00:00,1,1,0,0
2023-10-02 00:00:00+00:00,1,1,0,0
2023-10-08 00:00:00+00:00,0,0,1,1
2023-10-12 00:00:00+00:00,0,0,18,1
2023-10-27 00:00:00+00:00,1,1,2,2
2023-10-28 00:00:00+00:00,1,1,0,0
2023-11-03 00:00:00+00:00,1,1,0,0
2023-11-15 00:00:00+00:00,0,0,23,2
2023-11-21 00:00:00+00:00,1,1,0,0
