time_iso8601,forks_cumulative
2023-04-06 00:00:00+00:00,1
2023-04-28 00:00:00+00:00,2
2023-06-01 00:00:00+00:00,3
2023-06-05 00:00:00+00:00,4
2023-06-12 00:00:00+00:00,5
2023-06-13 00:00:00+00:00,6
2023-06-19 00:00:00+00:00,7
2023-06-26 00:00:00+00:00,8
2023-08-11 00:00:00+00:00,9
2023-09-01 00:00:00+00:00,11
2023-10-17 00:00:00+00:00,12
2023-12-06 00:00:00+00:00,13
2024-09-13 00:00:00+00:00,14
2025-01-08 00:00:00+00:00,15
2025-01-13 00:00:00+00:00,16
2025-02-22 00:00:00+00:00,17
2025-06-06 00:00:00+00:00,18
2025-06-23 00:00:00+00:00,20
