time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-05 00:00:00+00:00,0,0,65,5
2026-01-06 00:00:00+00:00,0,0,16,3
2026-01-07 00:00:00+00:00,0,0,4,4
2026-01-08 00:00:00+00:00,1,1,4,2
2026-01-09 00:00:00+00:00,1,1,7,4
2026-01-10 00:00:00+00:00,0,0,3,2
2026-01-11 00:00:00+00:00,0,0,0,0
2026-01-12 00:00:00+00:00,1,1,19,8
2026-01-13 00:00:00+00:00,1,1,34,4
2026-01-14 00:00:00+00:00,0,0,29,4
2026-01-15 00:00:00+00:00,1,1,6,2
2026-01-16 00:00:00+00:00,1,1,4,4
2026-01-17 00:00:00+00:00,1,1,1,1
2026-01-18 00:00:00+00:00,0,0,7,1
