time_iso8601,stars_cumulative
2023-04-13 00:00:00+00:00,2
2023-04-28 00:00:00+00:00,3
2023-05-21 00:00:00+00:00,4
2023-05-22 00:00:00+00:00,5
2023-06-01 00:00:00+00:00,8
2023-06-02 00:00:00+00:00,10
2023-06-03 00:00:00+00:00,11
2023-06-05 00:00:00+00:00,16
2023-06-06 00:00:00+00:00,17
2023-06-09 00:00:00+00:00,19
2023-06-10 00:00:00+00:00,21
2023-06-12 00:00:00+00:00,24
2023-06-13 00:00:00+00:00,26
2023-06-15 00:00:00+00:00,27
2023-06-16 00:00:00+00:00,29
2023-06-17 00:00:00+00:00,30
2023-06-19 00:00:00+00:00,32
2023-06-20 00:00:00+00:00,33
2023-06-21 00:00:00+00:00,35
2023-06-23 00:00:00+00:00,36
2023-06-24 00:00:00+00:00,37
2023-06-25 00:00:00+00:00,39
2023-06-26 00:00:00+00:00,40
2023-07-03 00:00:00+00:00,41
2023-07-11 00:00:00+00:00,42
2023-07-12 00:00:00+00:00,43
2023-07-14 00:00:00+00:00,44
2023-07-15 00:00:00+00:00,45
2023-07-26 00:00:00+00:00,46
2023-07-28 00:00:00+00:00,47
2023-08-01 00:00:00+00:00,48
2023-08-10 00:00:00+00:00,49
2023-08-22 00:00:00+00:00,50
2023-08-29 00:00:00+00:00,51
2023-09-08 00:00:00+00:00,52
2023-09-16 00:00:00+00:00,53
2023-09-18 00:00:00+00:00,54
2023-09-20 00:00:00+00:00,55
2023-10-05 00:00:00+00:00,56
2023-10-17 00:00:00+00:00,57
2023-10-31 00:00:00+00:00,58
2023-11-15 00:00:00+00:00,59
2023-12-04 00:00:00+00:00,60
2023-12-13 00:00:00+00:00,61
2023-12-20 00:00:00+00:00,62
