time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-25 00:00:00+00:00,0,0,2,1
2024-08-01 00:00:00+00:00,0,0,1,1
2024-08-03 00:00:00+00:00,0,0,1,1
2024-08-04 00:00:00+00:00,0,0,1,1
2024-08-17 00:00:00+00:00,0,0,14,1
2024-08-19 00:00:00+00:00,1,1,0,0
2024-09-19 00:00:00+00:00,0,0,21,2
2024-09-20 00:00:00+00:00,0,0,10,2
2024-09-22 00:00:00+00:00,0,0,4,1
2024-09-23 00:00:00+00:00,0,0,2,1
2024-09-24 00:00:00+00:00,0,0,4,1
2024-09-25 00:00:00+00:00,0,0,2,1
2024-09-26 00:00:00+00:00,0,0,2,1
2024-09-27 00:00:00+00:00,0,0,2,1
2024-09-29 00:00:00+00:00,0,0,4,1
2024-09-30 00:00:00+00:00,0,0,8,1
2024-10-01 00:00:00+00:00,0,0,2,1
2024-10-03 00:00:00+00:00,0,0,4,1
2024-10-04 00:00:00+00:00,0,0,2,1
2024-10-05 00:00:00+00:00,0,0,2,1
2024-10-06 00:00:00+00:00,0,0,4,1
2024-10-07 00:00:00+00:00,0,0,2,1
2024-10-25 00:00:00+00:00,1,1,0,0
2024-11-02 00:00:00+00:00,0,0,1,1
2024-11-06 00:00:00+00:00,1,1,0,0
2024-11-07 00:00:00+00:00,1,1,0,0
2024-12-10 00:00:00+00:00,0,0,3,1
2025-01-24 00:00:00+00:00,1,1,0,0
2025-02-09 00:00:00+00:00,1,1,0,0
2025-02-27 00:00:00+00:00,0,0,2,1
2025-03-04 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,1,1,0,0
2025-03-15 00:00:00+00:00,0,0,1,1
2025-03-18 00:00:00+00:00,1,1,0,0
2025-03-22 00:00:00+00:00,1,1,0,0
2025-03-23 00:00:00+00:00,1,1,0,0
2025-03-25 00:00:00+00:00,0,0,1,1
2025-04-03 00:00:00+00:00,1,1,0,0
2025-04-09 00:00:00+00:00,0,0,2,2
2025-04-11 00:00:00+00:00,2,2,0,0
2025-04-12 00:00:00+00:00,4,4,0,0
2025-04-13 00:00:00+00:00,0,0,2,1
2025-04-14 00:00:00+00:00,0,0,2,2
2025-04-15 00:00:00+00:00,0,0,1,1
2025-04-21 00:00:00+00:00,0,0,1,1
2025-04-25 00:00:00+00:00,1,1,0,0
2025-04-26 00:00:00+00:00,0,0,1,1
2025-04-27 00:00:00+00:00,2,2,0,0
2025-04-28 00:00:00+00:00,1,1,0,0
2025-05-03 00:00:00+00:00,1,1,0,0
2025-05-11 00:00:00+00:00,1,1,0,0
2025-05-13 00:00:00+00:00,0,0,1,1
2025-05-19 00:00:00+00:00,1,1,0,0
2025-05-20 00:00:00+00:00,1,1,0,0
2025-05-22 00:00:00+00:00,1,1,0,0
2025-05-24 00:00:00+00:00,0,0,1,1
2025-06-09 00:00:00+00:00,0,0,1,1
2025-06-10 00:00:00+00:00,2,2,0,0
2025-06-13 00:00:00+00:00,1,1,0,0
