time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-01 00:00:00+00:00,0,0,1,1
2024-09-06 00:00:00+00:00,1,1,0,0
2024-09-15 00:00:00+00:00,1,1,0,0
2024-09-19 00:00:00+00:00,1,1,2,1
2024-09-21 00:00:00+00:00,0,0,1,1
2024-09-26 00:00:00+00:00,1,1,0,0
2024-10-12 00:00:00+00:00,0,0,1,1
2024-11-02 00:00:00+00:00,0,0,2,1
2024-11-21 00:00:00+00:00,0,0,1,1
2024-11-28 00:00:00+00:00,0,0,1,1
2024-12-12 00:00:00+00:00,1,1,0,0
2025-01-06 00:00:00+00:00,0,0,2,1
2025-01-12 00:00:00+00:00,1,1,0,0
2025-01-16 00:00:00+00:00,0,0,2,1
2025-02-01 00:00:00+00:00,1,1,0,0
2025-02-06 00:00:00+00:00,0,0,1,1
2025-02-14 00:00:00+00:00,0,0,1,1
2025-02-16 00:00:00+00:00,2,1,3,1
2025-02-17 00:00:00+00:00,1,1,0,0
2025-02-22 00:00:00+00:00,1,1,0,0
2025-02-23 00:00:00+00:00,1,1,0,0
2025-03-04 00:00:00+00:00,0,0,1,1
2025-03-07 00:00:00+00:00,0,0,1,1
2025-03-08 00:00:00+00:00,2,2,0,0
2025-03-18 00:00:00+00:00,1,1,0,0
2025-03-31 00:00:00+00:00,4,4,0,0
2025-04-04 00:00:00+00:00,2,2,0,0
2025-04-21 00:00:00+00:00,1,1,0,0
2025-04-28 00:00:00+00:00,3,3,0,0
2025-04-29 00:00:00+00:00,1,1,0,0
2025-06-20 00:00:00+00:00,1,1,0,0
