time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-26 00:00:00+00:00,0,0,2,1
2024-07-31 00:00:00+00:00,0,0,7,1
2024-08-02 00:00:00+00:00,3,3,3,2
2024-08-05 00:00:00+00:00,2,2,0,0
2024-08-06 00:00:00+00:00,0,0,2,1
2024-08-14 00:00:00+00:00,0,0,3,1
2024-08-15 00:00:00+00:00,0,0,1,1
2024-08-19 00:00:00+00:00,0,0,1,1
2024-08-26 00:00:00+00:00,0,0,1,1
2024-08-28 00:00:00+00:00,0,0,8,1
2024-09-04 00:00:00+00:00,0,0,1,1
2024-09-11 00:00:00+00:00,0,0,1,1
2024-09-23 00:00:00+00:00,0,0,1,1
2024-10-18 00:00:00+00:00,0,0,1,1
2024-10-21 00:00:00+00:00,0,0,10,2
2024-10-24 00:00:00+00:00,0,0,2,2
2024-10-25 00:00:00+00:00,0,0,1,1
2024-10-29 00:00:00+00:00,0,0,1,1
2024-11-04 00:00:00+00:00,1,1,0,0
2024-11-05 00:00:00+00:00,0,0,1,1
2024-11-07 00:00:00+00:00,0,0,3,1
2024-11-14 00:00:00+00:00,0,0,1,1
2024-11-25 00:00:00+00:00,0,0,13,1
2024-11-26 00:00:00+00:00,0,0,1,1
2024-11-27 00:00:00+00:00,0,0,1,1
2024-11-29 00:00:00+00:00,0,0,1,1
2024-12-01 00:00:00+00:00,0,0,5,1
2024-12-02 00:00:00+00:00,0,0,1,1
2024-12-06 00:00:00+00:00,0,0,2,1
2024-12-10 00:00:00+00:00,0,0,1,1
2024-12-11 00:00:00+00:00,1,1,0,0
2024-12-13 00:00:00+00:00,0,0,1,1
2024-12-19 00:00:00+00:00,0,0,4,3
2024-12-20 00:00:00+00:00,0,0,1,1
2024-12-22 00:00:00+00:00,0,0,1,1
2024-12-23 00:00:00+00:00,0,0,1,1
2024-12-24 00:00:00+00:00,0,0,3,3
2024-12-25 00:00:00+00:00,0,0,3,2
2024-12-28 00:00:00+00:00,0,0,1,1
2024-12-31 00:00:00+00:00,0,0,2,1
2025-01-02 00:00:00+00:00,1,1,3,1
2025-01-04 00:00:00+00:00,1,1,0,0
2025-01-08 00:00:00+00:00,0,0,3,1
