time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-23 00:00:00+00:00,0,0,5,1
2024-08-01 00:00:00+00:00,0,0,1,1
2024-08-21 00:00:00+00:00,1,1,0,0
2024-08-26 00:00:00+00:00,0,0,3,1
2024-08-29 00:00:00+00:00,1,1,0,0
2024-09-03 00:00:00+00:00,1,1,0,0
2024-09-05 00:00:00+00:00,1,1,0,0
2024-09-19 00:00:00+00:00,0,0,1,1
2024-09-23 00:00:00+00:00,0,0,3,1
2024-10-17 00:00:00+00:00,1,1,0,0
2024-11-05 00:00:00+00:00,1,1,0,0
2024-12-03 00:00:00+00:00,0,0,13,1
2024-12-05 00:00:00+00:00,0,0,2,1
2024-12-09 00:00:00+00:00,0,0,1,1
2024-12-10 00:00:00+00:00,0,0,5,1
2024-12-13 00:00:00+00:00,1,1,0,0
2024-12-25 00:00:00+00:00,0,0,1,1
2024-12-27 00:00:00+00:00,1,1,0,0
2025-01-11 00:00:00+00:00,1,1,0,0
2025-02-03 00:00:00+00:00,0,0,2,2
2025-02-13 00:00:00+00:00,1,1,0,0
2025-03-02 00:00:00+00:00,1,1,0,0
2025-03-05 00:00:00+00:00,1,1,0,0
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-21 00:00:00+00:00,1,1,0,0
2025-03-27 00:00:00+00:00,1,1,0,0
2025-04-08 00:00:00+00:00,0,0,1,1
2025-04-09 00:00:00+00:00,1,1,0,0
2025-04-11 00:00:00+00:00,2,2,0,0
2025-04-12 00:00:00+00:00,2,2,0,0
2025-04-17 00:00:00+00:00,1,1,1,1
2025-04-18 00:00:00+00:00,1,1,0,0
2025-04-19 00:00:00+00:00,1,1,0,0
2025-04-21 00:00:00+00:00,1,1,0,0
2025-04-23 00:00:00+00:00,1,1,0,0
2025-04-24 00:00:00+00:00,1,1,0,0
2025-04-27 00:00:00+00:00,2,2,0,0
2025-05-19 00:00:00+00:00,2,1,0,0
2025-05-24 00:00:00+00:00,0,0,1,1
2025-05-28 00:00:00+00:00,0,0,4,1
2025-05-29 00:00:00+00:00,1,1,0,0
2025-06-09 00:00:00+00:00,1,1,3,1
2025-06-11 00:00:00+00:00,1,1,0,0
2025-06-13 00:00:00+00:00,1,1,0,0
