time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-25 00:00:00+00:00,1,1,0,0
2024-08-01 00:00:00+00:00,0,0,4,2
2024-08-12 00:00:00+00:00,3,3,0,0
2024-08-16 00:00:00+00:00,0,0,3,1
2024-08-18 00:00:00+00:00,0,0,1,1
2024-08-24 00:00:00+00:00,0,0,1,1
2024-08-26 00:00:00+00:00,0,0,1,1
2024-08-27 00:00:00+00:00,0,0,1,1
2024-09-03 00:00:00+00:00,0,0,1,1
2024-09-05 00:00:00+00:00,0,0,1,1
2024-09-08 00:00:00+00:00,3,3,2,1
2024-09-20 00:00:00+00:00,0,0,2,1
2024-09-23 00:00:00+00:00,0,0,5,1
2024-09-25 00:00:00+00:00,2,2,2,2
2024-09-30 00:00:00+00:00,0,0,1,1
2024-10-01 00:00:00+00:00,0,0,1,1
2024-10-15 00:00:00+00:00,0,0,1,1
2024-10-25 00:00:00+00:00,0,0,1,1
2024-11-11 00:00:00+00:00,0,0,3,1
2024-11-13 00:00:00+00:00,1,1,0,0
2024-11-21 00:00:00+00:00,0,0,1,1
2024-12-06 00:00:00+00:00,2,1,0,0
2025-01-08 00:00:00+00:00,0,0,2,1
2025-01-10 00:00:00+00:00,0,0,1,1
2025-01-16 00:00:00+00:00,0,0,13,1
2025-01-31 00:00:00+00:00,1,1,0,0
2025-02-03 00:00:00+00:00,0,0,5,1
2025-02-06 00:00:00+00:00,0,0,1,1
2025-02-11 00:00:00+00:00,0,0,1,1
2025-02-14 00:00:00+00:00,0,0,1,1
2025-02-21 00:00:00+00:00,0,0,4,1
2025-02-27 00:00:00+00:00,1,1,1,1
2025-03-01 00:00:00+00:00,1,1,0,0
2025-03-11 00:00:00+00:00,1,1,0,0
2025-03-12 00:00:00+00:00,0,0,1,1
2025-03-13 00:00:00+00:00,0,0,1,1
2025-03-15 00:00:00+00:00,0,0,7,1
2025-03-17 00:00:00+00:00,1,1,0,0
2025-03-18 00:00:00+00:00,1,1,0,0
2025-03-27 00:00:00+00:00,0,0,1,1
2025-03-30 00:00:00+00:00,0,0,9,1
2025-03-31 00:00:00+00:00,1,1,0,0
2025-04-01 00:00:00+00:00,0,0,1,1
2025-04-02 00:00:00+00:00,0,0,1,1
2025-04-03 00:00:00+00:00,4,4,0,0
2025-04-16 00:00:00+00:00,1,1,0,0
2025-04-27 00:00:00+00:00,2,2,0,0
2025-04-28 00:00:00+00:00,1,1,0,0
2025-05-11 00:00:00+00:00,2,2,0,0
2025-05-12 00:00:00+00:00,0,0,6,1
2025-05-31 00:00:00+00:00,1,1,0,0
2025-07-10 00:00:00+00:00,0,0,3,1
2025-07-23 00:00:00+00:00,0,0,1,1
2025-07-26 00:00:00+00:00,1,1,0,0
2025-08-01 00:00:00+00:00,0,0,5,1
2025-08-14 00:00:00+00:00,1,1,0,0
